case_id,protocol_used,feature,contribution,abs_contribution,direction,bias
wifi_TP_001,wifi,Weight,-0.45376473665237427,0.45376473665237427,benign,-0.012035328894853592
wifi_TP_001,wifi,fin_count,-0.28358450531959534,0.28358450531959534,benign,-0.012035328894853592
wifi_TP_001,wifi,Duration,0.21753576397895813,0.21753576397895813,attack,-0.012035328894853592
wifi_TP_001,wifi,Header_Length,0.2055366188287735,0.2055366188287735,attack,-0.012035328894853592
wifi_TN_001,wifi,IAT,-4.679597854614258,4.679597854614258,benign,-0.012035328894853592
wifi_TN_001,wifi,Tot size,-1.562378168106079,1.562378168106079,benign,-0.012035328894853592
wifi_TN_001,wifi,Magnitue,-1.5529699325561523,1.5529699325561523,benign,-0.012035328894853592
wifi_TN_001,wifi,Rate,1.304230809211731,1.304230809211731,attack,-0.012035328894853592
wifi_TN_001,wifi,AVG,-0.4941280782222748,0.4941280782222748,benign,-0.012035328894853592
wifi_TN_001,wifi,Number,-0.4128868281841278,0.4128868281841278,benign,-0.012035328894853592
wifi_TN_001,wifi,Variance,-0.31853657960891724,0.31853657960891724,benign,-0.012035328894853592
wifi_TN_001,wifi,Srate,0.31443676352500916,0.31443676352500916,attack,-0.012035328894853592
wifi_TN_001,wifi,rst_count,0.28138846158981323,0.28138846158981323,attack,-0.012035328894853592
wifi_TN_001,wifi,fin_count,-0.23738057911396027,0.23738057911396027,benign,-0.012035328894853592
wifi_FP_001,wifi,syn_flag_number,2.814516305923462,2.814516305923462,attack,-0.012035328894853592
wifi_FP_001,wifi,fin_count,1.7801545858383179,1.7801545858383179,attack,-0.012035328894853592
wifi_FP_001,wifi,HTTPS,-0.9530498385429382,0.9530498385429382,benign,-0.012035328894853592
wifi_FP_001,wifi,Tot size,-0.9198926091194153,0.9198926091194153,benign,-0.012035328894853592
wifi_FP_001,wifi,ack_count,-0.8480501174926758,0.8480501174926758,benign,-0.012035328894853592
wifi_FP_001,wifi,rst_count,-0.7425442337989807,0.7425442337989807,benign,-0.012035328894853592
wifi_FP_001,wifi,Number,-0.7316195368766785,0.7316195368766785,benign,-0.012035328894853592
wifi_FP_001,wifi,Magnitue,-0.5780944228172302,0.5780944228172302,benign,-0.012035328894853592
wifi_FP_001,wifi,Weight,-0.3897780478000641,0.3897780478000641,benign,-0.012035328894853592
wifi_FP_001,wifi,IAT,-0.1662120521068573,0.1662120521068573,benign,-0.012035328894853592
wifi_FN_001,wifi,Tot size,-1.6576014757156372,1.6576014757156372,benign,-0.012035328894853592
wifi_FN_001,wifi,Magnitue,-1.4785488843917847,1.4785488843917847,benign,-0.012035328894853592
wifi_FN_001,wifi,Rate,1.295006275177002,1.295006275177002,attack,-0.012035328894853592
wifi_FN_001,wifi,Number,-0.8045074939727783,0.8045074939727783,benign,-0.012035328894853592
wifi_FN_001,wifi,Weight,-0.43883925676345825,0.43883925676345825,benign,-0.012035328894853592
wifi_FN_001,wifi,fin_count,-0.36284157633781433,0.36284157633781433,benign,-0.012035328894853592
wifi_FN_001,wifi,AVG,-0.36063969135284424,0.36063969135284424,benign,-0.012035328894853592
wifi_FN_001,wifi,Variance,-0.34566351771354675,0.34566351771354675,benign,-0.012035328894853592
wifi_FN_001,wifi,rst_count,0.3074188828468323,0.3074188828468323,attack,-0.012035328894853592
wifi_FN_001,wifi,Srate,0.29671189188957214,0.29671189188957214,attack,-0.012035328894853592
mqtt_FN_001,mqtt,Rate,3.475996494293213,3.475996494293213,attack,-0.03622765094041824
mqtt_FN_001,mqtt,HTTPS,2.591813087463379,2.591813087463379,attack,-0.03622765094041824
mqtt_FN_001,mqtt,syn_count,-2.006814956665039,2.006814956665039,benign,-0.03622765094041824
mqtt_FN_001,mqtt,Tot sum,-1.2409424781799316,1.2409424781799316,benign,-0.03622765094041824
mqtt_FN_001,mqtt,rst_count,0.7903613448143005,0.7903613448143005,attack,-0.03622765094041824
mqtt_FN_001,mqtt,Header_Length,-0.7379227876663208,0.7379227876663208,benign,-0.03622765094041824
mqtt_FN_001,mqtt,Duration,0.6437803506851196,0.6437803506851196,attack,-0.03622765094041824
mqtt_FN_001,mqtt,psh_flag_number,-0.6437599658966064,0.6437599658966064,benign,-0.03622765094041824
mqtt_FN_001,mqtt,Srate,0.5545303821563721,0.5545303821563721,attack,-0.03622765094041824
mqtt_FN_001,mqtt,ack_count,-0.5286280512809753,0.5286280512809753,benign,-0.03622765094041824
