feasible,fit_seconds,fpr_gap,meta_best_iteration,model,objective,params_json,protocol_hint,stage,status,threshold,trial,val_f1,val_fpr,val_pr_auc,val_precision,val_recall
1,2.364868241827935,0.0,0,catboost,1.05,"{""bagging_temperature"": 0.1826481132053775, ""border_count"": 254, ""depth"": 10, ""iterations"": 4604, ""l2_leaf_reg"": 16.63010899938238, ""learning_rate"": 0.10418251763382941, ""random_strength"": 3.765688629841184}",bluetooth,refine,ok,0.507221997396192,15,1.0,0.0,1.0,1.0,1.0
1,1.9666085809003562,0.0,0,catboost,1.05,"{""bagging_temperature"": 0.6310542286049368, ""border_count"": 128, ""depth"": 9, ""iterations"": 3913, ""l2_leaf_reg"": 16.898360509798145, ""learning_rate"": 0.17792264831704988, ""random_strength"": 3.0046355099987805}",bluetooth,refine,ok,0.5225258156596768,16,1.0,0.0,1.0,1.0,1.0
1,3.486579180927947,0.0,0,catboost,1.05,"{""bagging_temperature"": 0.0, ""border_count"": 128, ""depth"": 11, ""iterations"": 3124, ""l2_leaf_reg"": 18.13766202425034, ""learning_rate"": 0.13544188611693822, ""random_strength"": 5.009795040020919}",bluetooth,refine,ok,0.5161425173929932,17,1.0,0.0,1.0,1.0,1.0
1,3.2342935260385275,0.0,0,catboost,1.05,"{""bagging_temperature"": 0.0, ""border_count"": 128, ""depth"": 11, ""iterations"": 3672, ""l2_leaf_reg"": 11.708199098835701, ""learning_rate"": 0.07924275048139542, ""random_strength"": 6.519595731670105}",bluetooth,refine,ok,0.5136006973488652,18,1.0,0.0,1.0,1.0,1.0
1,1.12591474596411,0.0,1,lightgbm,0.02412984746526599,"{""colsample_bytree"": 0.7550276767544056, ""learning_rate"": 0.024365921953296964, ""max_depth"": -1, ""min_child_samples"": 124, ""min_split_gain"": 0.29315760807056, ""n_estimators"": 1635, ""num_leaves"": 117, ""reg_alpha"": 0.009082814761926131, ""reg_lambda"": 33.69356611069478, ""subsample"": 0.8829224378291133, ""subsample_freq"": 1}",bluetooth,coarse,ok,inf,1,0.0,0.0,0.4825969493053197,0.0,0.0
1,0.5599119989201427,0.0,1,lightgbm,0.024131235990630856,"{""colsample_bytree"": 0.6568123080492704, ""learning_rate"": 0.05201710467893842, ""max_depth"": 6, ""min_child_samples"": 43, ""min_split_gain"": 0.25908385760598973, ""n_estimators"": 4725, ""num_leaves"": 317, ""reg_alpha"": 0.6497968581959594, ""reg_lambda"": 0.008549686816400132, ""subsample"": 0.9778656987334209, ""subsample_freq"": 1}",bluetooth,coarse,ok,inf,2,0.0,0.0,0.48262471981261706,0.0,0.0
1,0.5547873890027404,0.0,1,lightgbm,0.024131068345397633,"{""colsample_bytree"": 0.8407679509582456, ""learning_rate"": 0.05338764195777822, ""max_depth"": 12, ""min_child_samples"": 239, ""min_split_gain"": 0.44852724644126674, ""n_estimators"": 1484, ""num_leaves"": 249, ""reg_alpha"": 0.11392775400242552, ""reg_lambda"": 0.014887957527628863, ""subsample"": 0.8984568172855935, ""subsample_freq"": 1}",bluetooth,coarse,ok,inf,3,0.0,0.0,0.4826213669079526,0.0,0.0
1,0.5793416120577604,0.0,1,lightgbm,0.024131209864931048,"{""colsample_bytree"": 0.909032340813247, ""learning_rate"": 0.02439753879717231, ""max_depth"": 14, ""min_child_samples"": 151, ""min_split_gain"": 0.6963317510196115, ""n_estimators"": 1341, ""num_leaves"": 84, ""reg_alpha"": 0.00024915197655755365, ""reg_lambda"": 0.27983903046700853, ""subsample"": 0.9477341781768618, ""subsample_freq"": 1}",bluetooth,coarse,ok,inf,4,0.0,0.0,0.48262419729862094,0.0,0.0
1,0.5605720290914178,0.0,1,lightgbm,0.02412984746526599,"{""colsample_bytree"": 0.7560269400211725, ""learning_rate"": 0.020304944515059074, ""max_depth"": 14, ""min_child_samples"": 113, ""min_split_gain"": 0.121349314569134, ""n_estimators"": 4414, ""num_leaves"": 194, ""reg_alpha"": 0.0019135667086392558, ""reg_lambda"": 19.238824486085857, ""subsample"": 0.8532523443998744, ""subsample_freq"": 1}",bluetooth,coarse,ok,inf,5,0.0,0.0,0.4825969493053197,0.0,0.0
1,0.5535337971523404,0.0,1,lightgbm,0.024131289087226518,"{""colsample_bytree"": 0.9503340183656748, ""learning_rate"": 0.020585215976505488, ""max_depth"": 10, ""min_child_samples"": 164, ""min_split_gain"": 0.9516539329769568, ""n_estimators"": 3901, ""num_leaves"": 112, ""reg_alpha"": 0.016989401504837763, ""reg_lambda"": 0.5808973251549507, ""subsample"": 0.7287617754169418, ""subsample_freq"": 1}",bluetooth,coarse,ok,inf,6,0.0,0.0,0.48262578174453036,0.0,0.0
