error,feasible,fit_seconds,fpr_gap,meta_best_iteration,model,objective,params_json,stage,status,threshold,trial,val_f1,val_fpr,val_pr_auc,val_precision,val_recall
,1,112.31610254198313,0.0,2428,lightgbm,1.049472644458825,"{""colsample_bytree"": 0.9803115240050314, ""learning_rate"": 0.0341051117288881, ""max_depth"": 6, ""min_child_samples"": 141, ""min_split_gain"": 0.4005224999196306, ""n_estimators"": 4007, ""num_leaves"": 209, ""reg_alpha"": 0.004480492513871437, ""reg_lambda"": 8.978495509364599, ""subsample"": 0.6636724731402829, ""subsample_freq"": 1}",coarse,ok,0.5233621484283341,4,0.9994727313647694,0.0025034099604111914,0.9999982618811114,0.999786902353136,0.999158757763272
,1,106.79700732999481,0.0,2053,lightgbm,1.0494499887037492,"{""colsample_bytree"": 0.8355699860055286, ""learning_rate"": 0.041777334414129695, ""max_depth"": 10, ""min_child_samples"": 256, ""min_split_gain"": 0.35399012919076644, ""n_estimators"": 4450, ""num_leaves"": 58, ""reg_alpha"": 0.05756222040635606, ""reg_lambda"": 44.04203215564255, ""subsample"": 0.848953993423424, ""subsample_freq"": 1}",coarse,ok,0.5021524448769819,5,0.9994500824168631,0.0027446022821783827,0.9999981257377231,0.9997663703582038,0.9991339945351093
,1,56.34770987299271,0.0,2033,lightgbm,1.049350516935595,"{""colsample_bytree"": 0.9830442746797567, ""learning_rate"": 0.055313309725748216, ""max_depth"": 12, ""min_child_samples"": 77, ""min_split_gain"": 0.680592985712207, ""n_estimators"": 2038, ""num_leaves"": 110, ""reg_alpha"": 11.380238898015294, ""reg_lambda"": 0.24758905279803028, ""subsample"": 0.7071783652171914, ""subsample_freq"": 1}",coarse,ok,0.4274807573490525,6,0.9993506537165432,0.0040836355168169265,0.9999972643810364,0.9996523975015097,0.9990490920385514
,1,35.56545168394223,0.0,581,lightgbm,1.0494921260001626,"{""colsample_bytree"": 0.7085422042830303, ""learning_rate"": 0.0400076786844702, ""max_depth"": 12, ""min_child_samples"": 46, ""min_split_gain"": 0.5929596313262592, ""n_estimators"": 2705, ""num_leaves"": 160, ""reg_alpha"": 0.0027540955884102236, ""reg_lambda"": 0.5143182247843048, ""subsample"": 0.9406303698361177, ""subsample_freq"": 1}",coarse,ok,0.43552215395121735,7,0.9994922088560899,0.0026115306563757944,0.9999983428814555,0.9997777115474603,0.9992068691779882
,1,95.54391366080381,0.0,2362,lightgbm,1.0494606044040051,"{""colsample_bytree"": 0.8802179014672836, ""learning_rate"": 0.013558323715157345, ""max_depth"": 8, ""min_child_samples"": 212, ""min_split_gain"": 0.9798969823826033, ""n_estimators"": 2440, ""num_leaves"": 42, ""reg_alpha"": 0.0006384395657803128, ""reg_lambda"": 0.09954508250000266, ""subsample"": 0.7512146241386324, ""subsample_freq"": 1}",coarse,ok,0.4749016636326882,8,0.9994606940061306,0.002520043913636515,0.9999982079574918,0.9997854818657839,0.9991361170975233
,1,65.22742025600746,0.0,1606,lightgbm,1.049435098809839,"{""colsample_bytree"": 0.720686889866098, ""learning_rate"": 0.06433577184148741, ""max_depth"": 8, ""min_child_samples"": 100, ""min_split_gain"": 0.7131681007149309, ""n_estimators"": 1675, ""num_leaves"": 157, ""reg_alpha"": 0.1429130995718355, ""reg_lambda"": 20.46290770189489, ""subsample"": 0.7920316371916086, ""subsample_freq"": 1}",coarse,ok,0.515175322308311,9,0.9994351953954977,0.002411923217671912,0.9999980682868281,0.9997946713679843,0.999075977829128
,1,13.637857707217336,0.0,237,lightgbm,1.0494694610501847,"{""colsample_bytree"": 0.754813456232408, ""learning_rate"": 0.1396890231783215, ""max_depth"": 12, ""min_child_samples"": 65, ""min_split_gain"": 0.9199751805930465, ""n_estimators"": 1351, ""num_leaves"": 59, ""reg_alpha"": 0.0008275914555079004, ""reg_lambda"": 0.10662715121016741, ""subsample"": 0.662606461881791, ""subsample_freq"": 1}",coarse,ok,0.5050812965667038,10,0.9994695512134326,0.002644798562826441,0.9999981967350416,0.9997748709224558,0.9991644179297092
,1,75.67023126897402,0.0,2588,lightgbm,1.049372453674859,"{""colsample_bytree"": 0.7773196311295781, ""learning_rate"": 0.16029729674735493, ""max_depth"": 8, ""min_child_samples"": 298, ""min_split_gain"": 0.2609548765021983, ""n_estimators"": 2855, ""num_leaves"": 36, ""reg_alpha"": 10.082098195114982, ""reg_lambda"": 23.31735460150164, ""subsample"": 0.8925271877241149, ""subsample_freq"": 1}",coarse,ok,0.4606925295132902,11,0.999372579272468,0.0035596659902192357,0.9999974880478212,0.9996969845001908,0.9990483845177467
,1,32.553462489973754,0.0,1127,lightgbm,1.049395780614658,"{""colsample_bytree"": 0.9324404639982549, ""learning_rate"": 0.12500287325931556, ""max_depth"": -1, ""min_child_samples"": 20, ""min_split_gain"": 0.907492874216266, ""n_estimators"": 3156, ""num_leaves"": 296, ""reg_alpha"": 6.127011663209159, ""reg_lambda"": 0.01045089603624771, ""subsample"": 0.8441913213064252, ""subsample_freq"": 1}",coarse,ok,0.4952098000611585,12,0.9993958944177742,0.0024950929837985296,0.9999977239376779,0.9997875773837889,0.9990045182278585
,1,29.551080933073536,0.0,556,lightgbm,1.0495041483586776,"{""colsample_bytree"": 0.9592914157049562, ""learning_rate"": 0.06197401920781278, ""max_depth"": 8, ""min_child_samples"": 200, ""min_split_gain"": 0.0, ""n_estimators"": 3728, ""num_leaves"": 213, ""reg_alpha"": 0.00031743891405718266, ""reg_lambda"": 0.20203542964033408, ""subsample"": 0.8923921463821936, ""subsample_freq"": 1}",refine,ok,0.5076447458682624,13,0.9995042271623357,0.002162413919292059,0.999998423926837,0.9998159298551156,0.9991927187618952
