attack_method,epsilon,scope,protocol_hint,rows,l0_mean,l0_median,l0_p95,l2_mean,l2_median,l2_p95,linf_mean,linf_median,linf_p95,l2_norm_mean,l2_norm_median,l2_norm_p95,linf_norm_mean,linf_norm_median,linf_norm_p95,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs
surrogate_pgd,0.1,protocol,wifi,25000,17.01792,17.0,20.0,2233842.964579368,2256343.473945869,2256350.276095728,2232870.5475158608,2255840.0,2255840.0,0.12351539704272901,0.11582307112087445,0.1186527827230693,0.08302786188297169,0.08196636222363274,0.08495488854633403,0,0,0,0.0
heuristic_shap,0.0,global,,75000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127248,10516,0,0.0
heuristic_shap,0.0,protocol,bluetooth,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125240,4424,0,0.0
heuristic_shap,0.0,protocol,mqtt,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1334,5175,0,0.0
heuristic_shap,0.0,protocol,wifi,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674,917,0,0.0
heuristic_shap,0.01,global,,75000,6.107373333333333,5.0,10.0,1203919.2788755842,1699368.0000083782,1700848.0056609071,1203021.149259689,1699368.0,1700848.0,0.3028451711443277,0.022360678395985597,1.2435329134964133,0.2748231416683359,0.010000022210754892,1.0,0,0,0,0.0
heuristic_shap,0.01,protocol,bluetooth,25000,9.17688,9.0,10.0,231512.40765193145,237215.0790205072,237215.0846059592,231312.264115625,237010.5,237010.5,0.7517415126624443,0.6315673721035034,1.2435329572161058,0.7071383826671142,0.6307692307692307,1.0,0,0,0,0.0
heuristic_shap,0.01,protocol,mqtt,25000,4.68252,5.0,6.0,1697484.9305119212,1700848.0000492907,1700848.2342100702,1695411.340158545,1700848.0,1700848.0,0.11536623967831634,0.01732513773009324,0.13120062634761928,0.08998356344748969,0.010000007126642181,0.11533341193064758,0,0,0,0.0
heuristic_shap,0.01,protocol,wifi,25000,4.46272,5.0,5.0,1682760.4984628998,1699368.0000083782,1699368.0000083782,1682339.843504898,1699368.0,1699368.0,0.04142776109222237,0.022360678395985597,0.022360678395985597,0.027347478890403624,0.010000022210754892,0.010000022210754892,0,0,0,0.0
heuristic_shap,0.02,global,,75000,6.107373333333333,5.0,10.0,2396174.5953272516,3398736.0000119475,3401696.006730314,2394688.897098658,3398736.0,3401696.0,0.3147446870079795,0.04318291668824814,1.2438177599663798,0.28114588998325807,0.020000014253284362,1.0,0,0,0,0.0
heuristic_shap,0.02,protocol,bluetooth,25000,9.17688,9.0,10.0,453670.34347026655,474430.1374297976,474430.1399792465,453278.44147015625,474021.0,474021.0,0.7525868236561757,0.6325166755232698,1.2440153301479868,0.7071383826671142,0.6307692307692307,1.0,0,0,0,0.0
heuristic_shap,0.02,protocol,mqtt,25000,4.68252,5.0,6.0,3372155.8426280385,3401696.0000245627,3401696.468417016,3368632.0628610468,3401696.0,3401696.0,0.1303734720018614,0.03464328263791289,0.13346766882734779,0.09924982004211612,0.020000014253284362,0.11533341193064758,0,0,0,0.0
heuristic_shap,0.02,protocol,wifi,25000,4.46272,5.0,5.0,3362697.599883452,3398736.0000119475,3398736.0000167564,3362156.1869647712,3398736.0,3398736.0,0.06127376536590128,0.04318291668824814,0.044721342884613526,0.03704946724054372,0.020000012022669947,0.020000012022669947,0,0,0,0.0
heuristic_shap,0.05,global,,75000,6.107373333333333,5.0,10.0,5956141.565356316,8496840.000010066,8504248.004793063,5954904.032641978,8496840.0,8504248.0,0.3490157543192075,0.0957999514834808,1.2455051669215191,0.30020694104479195,0.05000003701792482,1.0,0,0,0,0.0
heuristic_shap,0.05,protocol,bluetooth,25000,9.17688,9.0,10.0,1064291.4438568885,1186075.3283681525,1186075.3285303381,1063372.1501875,1185052.5,1185052.5,0.7583244907688123,0.6391223128332216,1.2461636656288086,0.7071383826671142,0.6307692307692307,1.0,0,0,0,0.0
heuristic_shap,0.05,protocol,mqtt,25000,4.68252,5.0,6.0,8400841.455216493,8504248.000009608,8504249.171039375,8398418.845808625,8504248.0,8504248.0,0.17401666827551676,0.08660341424677388,0.14836937230459776,0.12717342216861371,0.050000004703532136,0.11533341193064758,0,0,0,0.0
heuristic_shap,0.05,protocol,wifi,25000,4.46272,5.0,5.0,8403291.796995565,8496840.000010066,8496840.000018062,8402921.10192981,8496840.0,8496840.0,0.11470610391329354,0.0957999514834808,0.10422386156588574,0.06630901829864776,0.05000003701792482,0.05000003701792482,0,0,0,0.0
heuristic_shap,0.1,global,,75000,6.107373333333333,5.0,10.0,11828641.547276055,16993680.00001442,17008496.00249964,11827611.501565306,16993680.0,17008496.0,0.40653145017356135,0.17798212817998,1.2515123355240465,0.33206377523539976,0.10000002384185791,1.0,0,0,0,0.0
heuristic_shap,0.1,protocol,bluetooth,25000,9.17688,9.0,10.0,1895928.0055517352,2372150.5903017684,2372150.652808696,1894290.068275,2370104.9375,2370105.0,0.7767793249993984,0.6621761981762768,1.2521676751434216,0.7071383826671142,0.6307692307692307,1.0,0,0,0,0.0
