iter	Passed	Remaining
702	12902	14628
703	12918	14606
704	12935	14586
705	12952	14567
706	12969	14547
707	12987	14528
708	13003	14507
709	13021	14488
710	13040	14471
711	13055	14449
712	13073	14430
713	13089	14409
714	13106	14389
715	13124	14370
716	13140	14350
717	13160	14333
718	13179	14315
719	13197	14296
720	13216	14279
721	13233	14259
722	13252	14241
723	13269	14222
724	13289	14206
725	13311	14191
726	13328	14172
727	13346	14152
728	13362	14132
729	13379	14112
730	13396	14093
731	13413	14073
732	13435	14059
733	13453	14040
734	13470	14020
735	13487	14000
736	13507	13983
737	13525	13965
738	13541	13944
739	13558	13924
740	13575	13905
741	13594	13887
742	13613	13869
743	13632	13851
744	13653	13836
745	13672	13818
746	13688	13798
747	13705	13778
748	13721	13757
749	13736	13736
750	13755	13718
751	13776	13703
752	13794	13685
753	13810	13664
754	13830	13647
755	13850	13630
756	13871	13615
757	13889	13596
758	13905	13575
759	13920	13554
760	13941	13538
761	13957	13517
762	13977	13500
763	13993	13480
764	14015	13466
765	14034	13447
766	14050	13427
767	14066	13406
768	14083	13387
769	14100	13367
770	14119	13350
771	14135	13329
772	14152	13310
773	14168	13289
774	14185	13270
775	14204	13252
776	14221	13232
777	14237	13212
778	14256	13195
779	14273	13175
780	14299	13164
781	14321	13149
782	14338	13129
783	14363	13117
784	14379	13097
785	14397	13078
786	14412	13057
787	14430	13039
788	14448	13019
789	14465	13001
790	14483	12981
791	14500	12962
792	14516	12942
793	14533	12922
794	14549	12902
795	14567	12883
796	14584	12864
797	14602	12846
798	14621	12827
799	14637	12807
800	14655	12789
801	14675	12772
802	14698	12758
803	14715	12738
804	14732	12719
805	14750	12700
806	14768	12681
807	14786	12663
808	14802	12643
809	14819	12624
810	14841	12608
811	14856	12588
812	14874	12569
813	14893	12551
814	14910	12532
815	14929	12514
816	14948	12496
817	14964	12476
818	14981	12456
819	14997	12437
820	15018	12421
821	15036	12402
822	15055	12384
823	15071	12364
824	15088	12345
825	15110	12329
826	15131	12313
827	15148	12294
828	15169	12278
829	15185	12258
830	15207	12242
831	15230	12228
832	15249	12210
833	15269	12193
834	15290	12177
835	15309	12159
836	15325	12139
837	15344	12122
838	15360	12101
839	15379	12083
840	15396	12064
841	15412	12044
842	15429	12024
843	15449	12008
844	15466	11988
845	15485	11970
846	15502	11951
847	15519	11932
848	15540	11916
849	15557	11896
850	15575	11878
851	15592	11858
852	15609	11839
853	15625	11820
854	15643	11800
855	15666	11786
856	15682	11766
857	15698	11746
858	15717	11728
859	15734	11709
860	15757	11694
861	15774	11675
862	15790	11655
863	15807	11635
864	15824	11616
865	15847	11601
866	15864	11582
867	15881	11563
868	15899	11545
869	15917	11526
870	15936	11508
871	15953	11489
872	15969	11469
873	15987	11451
874	16004	11431
875	16022	11413
876	16038	11393
877	16054	11373
878	16069	11353
879	16088	11335
880	16106	11316
881	16122	11296
882	16139	11277
883	16158	11259
884	16178	11242
885	16196	11223
886	16214	11205
887	16232	11187
888	16252	11169
889	16268	11150
890	16286	11131
891	16305	11114
892	16323	11095
893	16340	11076
894	16365	11062
895	16383	11043
896	16400	11025
897	16418	11006
898	16434	10987
899	16454	10969
900	16476	10954
901	16498	10938
902	16515	10919
903	16535	10901
904	16551	10882
905	16569	10863
906	16587	10845
907	16606	10826
908	16629	10811
909	16647	10793
910	16665	10774
911	16683	10756
912	16700	10737
913	16716	10717
914	16735	10699
915	16753	10681
916	16770	10662
917	16788	10643
918	16806	10625
919	16822	10605
920	16843	10588
921	16860	10569
922	16876	10550
923	16893	10531
924	16910	10511
925	16931	10495
926	16947	10475
927	16967	10458
928	16983	10439
929	17002	10420
930	17019	10401
931	17039	10384
932	17055	10364
933	17076	10348
934	17092	10328
935	17112	10311
936	17127	10291
937	17142	10271
938	17160	10252
939	17180	10235
940	17198	10216
941	17218	10199
942	17234	10179
943	17251	10161
944	17269	10142
945	17291	10126
946	17306	10106
947	17323	10086
948	17341	10068
949	17358	10049
950	17375	10030
951	17394	10013
952	17411	9993
953	17431	9976
954	17451	9958
955	17469	9940
956	17486	9921
957	17503	9902
958	17520	9883
959	17541	9867
960	17559	9848
961	17580	9832
962	17600	9814
963	17617	9795
964	17634	9776
965	17652	9758
966	17676	9743
967	17691	9723
968	17709	9704
969	17726	9685
970	17743	9666
971	17760	9647
972	17777	9628
973	17794	9609
974	17810	9590
975	17835	9575
976	17854	9557
977	17872	9539
978	17889	9520
979	17915	9505
980	17934	9488
981	17951	9469
982	17968	9450
983	17985	9431
984	18003	9413
985	18021	9394
986	18038	9375
987	18054	9356
988	18071	9337
989	18088	9318
990	18107	9300
991	18131	9284
992	18147	9265
993	18164	9246
994	18181	9227
995	18203	9211
996	18224	9194
997	18241	9175
998	18259	9157
999	18276	9138
1000	18295	9120
1001	18312	9101
1002	18329	9082
1003	18345	9063
1004	18362	9044
1005	18379	9025
1006	18396	9006
1007	18416	8988
1008	18433	8969
1009	18455	8953
1010	18475	8936
1011	18493	8917
1012	18509	8898
1013	18526	8879
1014	18541	8859
1015	18559	8841
1016	18575	8822
1017	18593	8803
1018	18610	8784
1019	18627	8765
1020	18645	8747
1021	18665	8730
1022	18681	8710
1023	18703	8694
1024	18721	8675
1025	18740	8658
1026	18757	8639
1027	18774	8620
1028	18792	8601
1029	18808	8582
1030	18826	8564
1031	18842	8544
1032	18864	8528
1033	18880	8508
1034	18896	8489
1035	18915	8471
1036	18931	8452
1037	18949	8434
1038	18974	8418
1039	18990	8399
1040	19015	8384
1041	19036	8367
1042	19055	8349
1043	19071	8329
1044	19089	8311
1045	19107	8293
1046	19124	8274
1047	19146	8257
1048	19163	8238
1049	19180	8220
1050	19198	8202
1051	19214	8182
1052	19231	8163
1053	19252	8146
1054	19268	8127
1055	19286	8109
1056	19301	8089
1057	19322	8072
1058	19338	8053
1059	19355	8034
1060	19373	8015
1061	19393	7998
1062	19412	7980
1063	19435	7964
1064	19452	7945
1065	19471	7927
1066	19488	7908
1067	19505	7889
1068	19524	7871
1069	19540	7852
1070	19561	7835
1071	19579	7817
1072	19597	7798
1073	19614	7780
1074	19632	7761
1075	19651	7743
1076	19667	7724
1077	19685	7706
1078	19701	7687
1079	19717	7668
1080	19742	7652
1081	19758	7633
1082	19777	7615
1083	19795	7596
1084	19819	7580
1085	19836	7561
1086	19853	7543
1087	19871	7524
1088	19888	7506
1089	19905	7487
