feasible,fit_seconds,fpr_gap,meta_best_iteration,model,objective,params_json,protocol_hint,stage,status,threshold,trial,val_f1,val_fpr,val_pr_auc,val_precision,val_recall
1,3.7419868090655655,0.0,401,catboost,0.9488472605641176,"{""bagging_temperature"": 3.8903326748423477, ""border_count"": 128, ""depth"": 6, ""iterations"": 4402, ""l2_leaf_reg"": 20.83610925683523, ""learning_rate"": 0.12081472999164233, ""random_strength"": 1.5696202409829787}",wifi,coarse,ok,0.01413074273256533,10,0.9976153249085875,0.009876714546758264,0.9999816224622542,0.9997418275105461,0.9954978494675445
1,2.4615482231602073,0.0,139,catboost,0.9475361962446969,"{""bagging_temperature"": 2.2394047660525223, ""border_count"": 64, ""depth"": 6, ""iterations"": 1764, ""l2_leaf_reg"": 2.895902191763296, ""learning_rate"": 0.18561008218529215, ""random_strength"": 0.4227372789234319}",wifi,coarse,ok,0.013530742094467302,11,0.9974610919507111,0.009992366941919368,0.9999754742635869,0.9997387254276405,0.9951938128242054
1,8.296408141031861,0.0,290,catboost,0.9476675332379401,"{""bagging_temperature"": 4.985995408954494, ""border_count"": 254, ""depth"": 10, ""iterations"": 2738, ""l2_leaf_reg"": 5.826283575766878, ""learning_rate"": 0.038142588644194106, ""random_strength"": 0.572696138736594}",wifi,coarse,ok,0.013222625818383238,12,0.9975923503047347,0.009992366941919368,0.9999770470479799,0.999738793990085,0.9954551037216494
1,6.282821108121425,0.0,59,catboost,0.9478487653432437,"{""bagging_temperature"": 1.79341578134471, ""border_count"": 64, ""depth"": 11, ""iterations"": 1630, ""l2_leaf_reg"": 1.07622018711241, ""learning_rate"": 0.05324448965994687, ""random_strength"": 0.36668633057282574}",wifi,refine,ok,0.00983940469505258,13,0.9975421480726815,0.009969236462887146,0.9999796379886727,0.9997393721590204,0.9953545609108817
1,6.741727302083746,0.0,52,catboost,1.0181340936394885,"{""bagging_temperature"": 0.35564678180620063, ""border_count"": 254, ""depth"": 11, ""iterations"": 1671, ""l2_leaf_reg"": 0.7325418418664179, ""learning_rate"": 0.043998481421715946, ""random_strength"": 0.5394487766095957}",wifi,refine,ok,0.03741724955116803,14,0.9975108427256347,0.0029375708370920363,0.9999791856954822,0.9999231694826766,0.9951101274906923
1,6.549177834996954,0.0,70,catboost,0.9513079286415363,"{""bagging_temperature"": 0.0, ""border_count"": 64, ""depth"": 11, ""iterations"": 1321, ""l2_leaf_reg"": 0.535951806005315, ""learning_rate"": 0.038119792625666345, ""random_strength"": 0.4729266761020345}",wifi,refine,ok,0.011012393187923854,15,0.9975318430263026,0.009622279277403835,0.9999775677854424,0.9997484329976083,0.9953250603256865
1,2.8677434211131185,0.0,20,catboost,0.9963703200799205,"{""bagging_temperature"": 0.0, ""border_count"": 64, ""depth"": 9, ""iterations"": 1736, ""l2_leaf_reg"": 0.6859144199209442, ""learning_rate"": 0.054246489227395736, ""random_strength"": 0.10804285683878001}",wifi,refine,ok,0.04102024061345184,16,0.9974895069234692,0.005111835866120787,0.9999834363531842,0.9998663122630974,0.9951239747041513
1,4.009119026130065,0.0,32,catboost,0.9476157142382571,"{""bagging_temperature"": 0.0, ""border_count"": 64, ""depth"": 10, ""iterations"": 1390, ""l2_leaf_reg"": 0.8014790117973052, ""learning_rate"": 0.03809298115873985, ""random_strength"": 0.35299504874339227}",wifi,refine,ok,0.02236692811675235,17,0.9975403349766298,0.009992366941919368,0.9999809736164198,0.999738766822177,0.9953515506470864
1,8.809344440931454,0.0,20,catboost,0.9483944974309877,"{""bagging_temperature"": 0.0, ""border_count"": 64, ""depth"": 12, ""iterations"": 1719, ""l2_leaf_reg"": 0.7222307231488329, ""learning_rate"": 0.05762826786870166, ""random_strength"": 0.33991130545855763}",wifi,refine,ok,0.02789518258112508,18,0.9976253064145083,0.009922975504822705,0.9999789212941279,0.9997406240741973,0.9955189213141126
1,9.142088846070692,0.0,128,lightgbm,1.0448463312409149,"{""colsample_bytree"": 0.9400250873818755, ""learning_rate"": 0.042871553127088145, ""max_depth"": 8, ""min_child_samples"": 259, ""min_split_gain"": 0.17017232436438934, ""n_estimators"": 1390, ""num_leaves"": 203, ""reg_alpha"": 0.991130762899384, ""reg_lambda"": 0.0025150431526058544, ""subsample"": 0.9789925320856248, ""subsample_freq"": 1}",wifi,coarse,ok,0.5305243643012395,1,0.9973920646451672,0.0002544352693544283,0.9999723857858376,0.9999933428752122,0.9948042846890759
1,8.12073526182212,0.0,80,lightgbm,0.9593794666731157,"{""colsample_bytree"": 0.8129182029275368, ""learning_rate"": 0.0661416056804778, ""max_depth"": 12, ""min_child_samples"": 78, ""min_split_gain"": 0.4381103888003405, ""n_estimators"": 1778, ""num_leaves"": 52, ""reg_alpha"": 0.0003040018057179184, ""reg_lambda"": 0.09293646189606537, ""subsample"": 0.9370907751622776, ""subsample_freq"": 1}",wifi,coarse,ok,0.021615698300081487,2,0.9975078971901994,0.008812712511276109,0.9999738919135489,0.9997695777285082,0.9952564263111505
1,10.637853363994509,0.0,161,lightgbm,0.9573408432772874,"{""colsample_bytree"": 0.9944382858121681, ""learning_rate"": 0.03233391417860963, ""max_depth"": 14, ""min_child_samples"": 54, ""min_split_gain"": 0.6995436469655536, ""n_estimators"": 3371, ""num_leaves"": 104, ""reg_alpha"": 0.27579000037018186, ""reg_lambda"": 0.6852061279493383, ""subsample"": 0.7388657848829409, ""subsample_freq"": 1}",wifi,coarse,ok,0.020382396357342458,3,0.9975511602950675,0.009020886822566096,0.9999710241576192,0.9997641576467046,0.9953479383305318
1,9.12619985989295,0.0,97,lightgbm,0.9866978355701946,"{""colsample_bytree"": 0.7110569742574422, ""learning_rate"": 0.028903135790199142, ""max_depth"": -1, ""min_child_samples"": 224, ""min_split_gain"": 0.06029592708202358, ""n_estimators"": 2334, ""num_leaves"": 90, ""reg_alpha"": 0.3971692272555479, ""reg_lambda"": 0.0017455987796731014, ""subsample"": 0.8639540160064052, ""subsample_freq"": 1}",wifi,coarse,ok,0.13551383820082524,4,0.9973010811066926,0.006060185506441838,0.9999721905584108,0.9998414585810543,0.9947735799983625
1,9.51987641886808,0.0,158,lightgbm,1.0127145393479142,"{""colsample_bytree"": 0.7135103442154789, ""learning_rate"": 0.027658380797113823, ""max_depth"": 8, ""min_child_samples"": 212, ""min_split_gain"": 0.8264141063270565, ""n_estimators"": 4623, ""num_leaves"": 31, ""reg_alpha"": 0.0163548259529522, ""reg_lambda"": 19.44558439568249, ""subsample"": 0.8738253967540804, ""subsample_freq"": 1}",wifi,coarse,ok,0.13720442520716672,5,0.9974113450564175,0.0034695718548331134,0.9999782567965599,0.9999092397558913,0.9949258993464115
1,9.646441682009026,0.0,162,lightgbm,0.9480465397090967,"{""colsample_bytree"": 0.7646079112638954, ""learning_rate"": 0.06200626142605163, ""max_depth"": -1, ""min_child_samples"": 55, ""min_split_gain"": 0.8028987215381536, ""n_estimators"": 1617, ""num_leaves"": 161, ""reg_alpha"": 1.321020964572875, ""reg_lambda"": 78.83998447210362, ""subsample"": 0.6738287765413358, ""subsample_freq"": 1}",wifi,coarse,ok,0.01609924101322272,6,0.997508878222853,0.009946105983854925,0.9999744264958607,0.9997399592522196,0.995287733054623
1,7.2214508801698685,0.0,88,lightgbm,0.9723614434543204,"{""colsample_bytree"": 0.8387212752805857, ""learning_rate"": 0.04093443672764695, ""max_depth"": 6, ""min_child_samples"": 45, ""min_split_gain"": 0.9995669381411457, ""n_estimators"": 3790, ""num_leaves"": 120, ""reg_alpha"": 0.0007125011607142315, ""reg_lambda"": 0.7605219938310458, ""subsample"": 0.8828420114015378, ""subsample_freq"": 1}",wifi,coarse,ok,0.04591538833452647,7,0.9973051158136287,0.007494275206439525,0.9999815941017413,0.9998039573982485,0.994818733955294
1,8.300683930050582,0.0,78,lightgbm,0.9481045611504819,"{""colsample_bytree"": 0.6665941485771726, ""learning_rate"": 0.07356680249750089, ""max_depth"": 12, ""min_child_samples"": 78, ""min_split_gain"": 0.3658816536150383, ""n_estimators"": 2253, ""num_leaves"": 175, ""reg_alpha"": 0.8083152026352763, ""reg_lambda"": 0.006748148140608567, ""subsample"": 0.8226107244683603, ""subsample_freq"": 1}",wifi,coarse,ok,0.01772274288290608,8,0.9975669452084508,0.009946105983854925,0.9999735156116092,0.999739989442362,0.9954033271843679
1,9.193129965104163,0.0,114,lightgbm,0.9584617924587601,"{""colsample_bytree"": 0.8037523792203856, ""learning_rate"": 0.04754659994837002, ""max_depth"": 14, ""min_child_samples"": 180, ""min_split_gain"": 0.9511452960680378, ""n_estimators"": 1380, ""num_leaves"": 316, ""reg_alpha"": 0.00016432304886993243, ""reg_lambda"": 0.07446199565739071, ""subsample"": 0.8905286451425772, ""subsample_freq"": 1}",wifi,coarse,ok,0.02687356147133007,9,0.9975154646111347,0.008905234427404991,0.9999734424335082,0.9997671632439663,0.995273885841164
